2154,International Computer Symposium Workshop,WICS,CORE2018,C,No,,,
344,Conférence en Recherche d'information et Applications,CORIA,ERA2010,C,Yes,08,,
347,Conference of South African Institute of Computer Scientists and Information Technologists,SAICSIT,ERA2010,C,Yes,08,,
1564,Japan-China Joint Workshop on Frontier of Computer Science and Technology,FCST,ERA2010,C,Yes,08,,
207,Australasian Computer Science Conference,ACSC,CORE2018,Australasian,Yes,08,,
166,Asian Computing Science Conference,ASIAN,CORE2018,B,No,08,,
10,ACM Annual Computer Science Conference,CSC,CORE2018,C,No,08,,
336,Computer Science Research Conference,CSRC,CORE2018,C,No,08,,
470,European Computing Conference,ECC,CORE2018,C,No,08,,
1611,Mexican International Conference on Current Trends in Computer Science (was Mexican International Conference on Computer Science),ENC,CORE2018,C,No,08,,
1069,International Conference on Information and Communications Technology,ICICT,CORE2018,C,No,08,,
1103,International Conference on International and Communication Technologies,ICICTE,CORE2018,C,No,08,,
1070,International Conference on Information and Emerging Technologies,ICIET,CORE2018,C,No,08,,
869,International Computer Science Conference,ICSC,CORE2018,B,No,08,,
799,IFIP Congress (Information Processing),Information Processing,CORE2018,C,No,08,,
686,IEEE International Multioptic Conference,INMIC,CORE2018,C,No,08,,
1084,International Conference on Information Technology Interfaces,ITI,CORE2018,C,No,08,,
1187,International Conference on Recent Advances in Information Technology and Applications,RAITA,CORE2018,C,No,08,,
754,IEEE Systems and Information Engineering Design Symposium,SIEDS,CORE2018,C,No,08,,
1844,USENIX Workshop on Electronic Commerce,USENIX EC,CORE2018,C,No,08,,
1940,World Computer Congress,WCC,CORE2018,C,No,08,,
101,Agent-Oriented Software Engineering Workshop (merged into EMAS in 2013),AOSE,ERA2010,C,No,0801,0803,
289,Brazilian Symposium on Computer Graphics and Image Processing,SIBGRAPI,ERA2010,C,Yes,0801,,
300,Canadian Artificial Intelligence Conference,CAAI,ERA2010,B,Yes,0801,,
302,Canadian Conference on Computer and Robot Vision,CRV,ERA2010,C,Yes,0801,,
386,Congress of the Italian Assoc for AI,AI*IA,ERA2010,B,Yes,0801,,
424,Deutsche Arbeitsgemeinschaft für Mustererkennung DAGM e.V,DAGM,ERA2010,B,Yes,0801,,
550,French Conference on Knowledge Acquisition and Machine Learning,FCKAML,ERA2010,B,Yes,0801,,
552,French Speaking Conference on the Extraction and Management of Knowledge,EGC,ERA2010,C,Yes,0801,,
564,German Conference on Multi-Agent system Technologies,MATES,ERA2010,B,Yes,0801,,
578,Hellenic Conference on Artificial Intelligence,SETN,ERA2010,C,Yes,0801,,
585,Hungarian National Conference on Agent Based Computation,HUNABC,ERA2010,C,Yes,0801,,
1650,North American Fuzzy Information Processing Society Conference,NAFIPS,ERA2010,C,Yes,0801,,
1713,Scandinavian Conference on Artificial Intelligence,SCAI,ERA2010,B,Yes,0801,,
100,Agent-Oriented Information Systems Workshop,AOIS,CORE2014,B,No,0801,,
123,Annual Conference of the International Speech Communication Association (was Eurospeech),Interspeech,CORE2014,A,No,0801,,
486,European Conference on Machine Learning (Joined with PKDD from 2008),ECML,CORE2014,A,No,0801,,
946,International Conference on Computational Intelligence and Software Engineering,CISE,CORE2014,C,Yes,0801,0804,0803
1141,"IASTED International Conference on Modelling, Simulation and Optimisation",ICMSO,CORE2014,C,Yes,0801,,
1223,International Conference on Spoken Language Processing,ICSLP,CORE2014,C,No,0801,,
1265,International Conference on Vision Theory and Applications (Joined with GRAPP from 2008),VISAPP,CORE2014,C,No,0801,,
148,Argentine Symposium on Artificial Intelligence,ASAI,CORE2017,C,No,0801,,
728,IEEE Symposium on 3D User Interfaces,3DUI,CORE2017,B,No,0801,,
916,International Conference on Artificial Reality and Telexistence,ICAT,CORE2017,B,No,0801,,
112,American Federation of Information Processing Societies,AFIPS,CORE2018,A,Yes,0801,0806,0802
4,3-D Digital Imaging and Modelling,3DIM,CORE2018,C,No,0801,,
1343,International Symposium on 3D Data Processing Visualization and Transmission,3DPVT,CORE2018,C,No,0801,,
884,International Conference on 3G Mobile Communication Technologies,3G,CORE2018,C,No,0801,,
90,Advanced Course on Artificial Intelligence,ACAI,CORE2018,C,No,0801,,
248,Australian Conference for Knowledge Management and Intelligent Decision Support,ACKMIDS,CORE2018,Australasian,Yes,0801,,
251,Australian Conference on Neural Networks,ACNN,CORE2018,Australasian,Yes,0801,,
959,"International Conference on Computer Graphics, Virtual Reality, Visualisation and Interaction in Africa",AFRIGRAPH,CORE2018,C,No,0801,,
1960,International Conference on AI in Design,AID,CORE2018,A,No,0801,,
150,Artificial Intelligence in Medicine,AIIM,CORE2018,A,No,0801,,
149,Artificial Intelligence in Knowledge Management,AIKM,CORE2018,C,No,0801,,
911,International Conference on Artificial Intelligence and Pattern Recognition,AIPR,CORE2018,C,No,0801,,
96,Advances in Intelligent Systems,AIS,CORE2018,C,No,0801,,
914,International Conference on Artificial Intelligence in Science and Technology,AISAT,CORE2018,C,No,0801,,
897,International Conference on Advances in Intelligent Systems: Theory and Applications,AISTA,CORE2018,B,No,0801,0806,
262,Australian Knowledge Acquisition Workshop,AKAW,CORE2018,Australasian,Yes,0801,,
110,Ambient Intelligence Developments,Aml.d,CORE2018,C,No,0801,,
360,Conference on Artificial Neural Networks and Expert systems,ANNES,CORE2018,C,No,0801,,
152,Artificial Neural Networks in Engineering Conference,ANNIE,CORE2018,B,No,0801,,
1450,International Workshop on Ant Colony,ANTS,CORE2018,B,No,0801,,
146,Applied Perception in Graphics and Visualization,APGV,CORE2018,C,No,0801,,
268,Australian Symposium on Information Visualisation,ASIV,CORE2018,Australasian,Yes,0801,,
1557,ISCA Tutorial and Research Workshop Automatic Speech Recognition,ASR,CORE2018,C,No,0801,,
203,Australasian Cognitive Science Society Conference,AuCSS,CORE2018,Australasian,Yes,0801,,
860,International Atlantic Web Intelligence Conference,AWIC,CORE2018,C,No,0801,,
798,IFIP Conference on Biologically Inspired Collaborative Computing,BICC,CORE2018,C,No,0801,,
285,Bioinformatics Visualization,BioViz,CORE2018,C,No,0801,,
1855,Visualisation in Built and Rural Environments,BuiltViz,CORE2018,C,No,0801,,
