Title,Acronym,DblpSeries,has CORE2026 Rank,Field,field_of_research_1,field_of_research_2,field_of_research_3,has CORE2023 Rank,has CORE2021 Rank,has CORE2020 Rank,has CORE2018 Rank,has CORE2017 Rank,has CORE2014 Rank,has CORE2013 Rank,has CORE2010 Rank,has CORE2008 Rank
"Language Descriptions, Tools and Applications",LDTA,,,"Computer Software†, , ",Computer Software†,,,,,,B,B,B,B,B,B
Language Resources and Evaluation Conference,LREC,lrec,B,"Artificial intelligence, , ",Artificial intelligence,,,B,C,C,C,C,C,C,,C
"Language, Data and Knowledge",LDK,ldk,C,"Artificial intelligence, Data management and data science, Applied computing",Artificial intelligence,Data management and data science,Applied computing,C,Unranked: NEW,,,,,,,
Latin American Conference on Informatics,CLEI,clei,C,"Artificial intelligence, Software engineering, Data management and data science",Artificial intelligence,Software engineering,Data management and data science,C,C,,,,,,C,
Latin American Conference on Pattern Languages of Programming,SugarLoafPLoP,,,"Computer Software†, , ",Computer Software†,,,,,,,,,,C,
Latin American Web Congress,LA-WEB,,,"Information Systems†, , ",Information Systems†,,,,,,,,,,C,
"Latin-American Algorithms, Graphs and Optimization Symposium",LAGOS,lagos,C,"Theory of computation, , ",Theory of computation,,,C,C,,,,,,C,
Law via the Internet,LI,,,"Other Information and Computing Sciences†, , ",Other Information and Computing Sciences†,,,,,,C,C,C,C,C,C
Lexical Semantics and Knowledge Representation,SIGLEX,,,"Data Format†, , ",Data Format†,,,,,,C,C,C,C,C,
Logic Programming and Automated Reasoning,LPAR,lpar,B,"Theory of computation, Artificial intelligence, ",Theory of computation,Artificial intelligence,,B,A,A,A,A,A,A,A,A
Logic and Engineering of Natural Language Semantics,LENLS,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,B,B,B,B,B,B
Logical Foundations of Computer Science,LFCS,lfcs,National: USA,"Theory of computation, , ",Theory of computation,,,National: USA,National: USA,National: USA,B,B,B,B,B,B
"Logics in Artificial Intelligence, European Conference",JELIA,jelia,B,"Theory of computation, Artificial intelligence, ",Theory of computation,Artificial intelligence,,A,A,A,A,A,A,A,A,A
MACIS: International Conference of Mathematical Aspects of Computer and Information Sciences,MACIS,macis,,"Theory of computation, , ",Theory of computation,,,,C,C,C,C,C,C,C,
MSRI Combinatorial Game Theory Research Workshop,GameTheory,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,
Machine Translation Summit,MT SUMMIT,mtsummit,C,"Artificial intelligence, , ",Artificial intelligence,,,C,B,B,B,B,B,B,B,
Machine Vision Applications,MVA,mva,National: japan,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,,National: japan,National: japan,National: japan,C,C,C,C,C,
"Machines, Computations and Universality (was Universal Machines and Computations)",MCU,mcu,C,"Theory of computation, , ",Theory of computation,,,C,B,B,B,B,B,B,B,B
Malaysia International Conference on Communications,MICC,,Regional,"Distributed computing and systems software, , ",Distributed computing and systems software,,,Regional,Regional,Regional,Regional,Regional,Regional,Regional,,Regional
Management of Innovation and Technology International Conference,ICMIT,,,"Technology†, , ",Technology†,,,,,,,,,,C,
Massively Parallel Processing Using Optional Interconnections,MPPOI,,,"Distributed Computing†, , ",Distributed Computing†,,,,,,B,B,B,B,B,B
Mathematical Methods in Computer Science,MMICS,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,
Mathematics of Program Construction,MPC,mpc,B,"Theory of computation, , ",Theory of computation,,,B,B,B,B,B,B,B,B,B
Measurement and Modeling of Computer Systems,SIGMETRICS,sigmetrics,A*,"Software engineering, , ",Software engineering,,,A*,A*,A*,A*,A*,A*,A*,A,A*
Mechatronics and Machine Vision in Practice,M2VIP,,,"Manufacturing Engineering†, , ",Manufacturing Engineering†,,,,,,B,B,B,B,B,B
Medical Image Computing and Computer-Assisted Intervention,MICCAI,miccai,A,"Applied computing, Computer vision and multimedia computation, ",Applied computing,Computer vision and multimedia computation,,A,A,A,A,A,A,A,A,
Medicine Meets Virtual Reality,MMVR,,,"Artificial Intelligence and Image Processing†, Biomedical Engineering †, ",Artificial Intelligence and Image Processing†,Biomedical Engineering †,,,,,B,B,B,B,B,
Mensch & Computer,MuC,mc,National: Germany,"Human-centred computing, , ",Human-centred computing,,,National: Germany,National: Germany,,,,,,,
Methods Effectives en Geometrie Algebrique,MEGA,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,,,,,B,B
Mexican International Conference on Current Trends in Computer Science (was Mexican International Conference on Computer Science),ENC,,,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,,,,,C,C,C,C,C,
"Mid-West Conference on Combinatorics, Cryptography, and Computing",MIGHTY,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,,,,,C,
Mining for Enhanced Web Search,MEWS,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,C
Mobile Media,MMC,,,"Design Practice and Management†, , ",Design Practice and Management†,,,,,,,,,,B,
Mobile and Ubiquitous Multimedia (ACM),MUM,mum,B,"Human-centred computing, , ",Human-centred computing,,,B,B,,,,,,B,
Mobility in Databases and Distributed Systems,MDDS,,,"Data Format†, , ",Data Format†,,,,,,C,C,C,C,C,C
Modelling and Optimization: Theory and Applications,MOPTA,,National: USA,"Artificial intelligence, , ",Artificial intelligence,,,National: USA,National: USA,National: USA,C,C,C,C,C,
Modern Asian Architecture Network conferences,mAAN,,,"Architecture†, , ",Architecture†,,,,,,,,,,C,
"Multimedia Content Access: Algorithms and Systems (was Multimedia Content Analysis, Management and Retrieval)",MCA:AS,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,
Multimedia and Network Information Systems,MISSI,missi,National: Poland,"Computer vision and multimedia computation, Graphics, augmented reality and games, Artificial intelligence",Computer vision and multimedia computation,"Graphics, augmented reality and games",Artificial intelligence,National: Poland,National: Poland,,,,,,,
Multiple Objective Decision Support System Conference,MODSS,,,", , ",,,,,,,C,C,C,C,,C
NAISO Congress on Autonomous Intelligent Systems,NAISO,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,C
NASA LaRC Formal Methods Workshop,LARC,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,,,,,C,C
NATO Conference on software engineering,NATOSE,,,"Computer Software†, , ",Computer Software†,,,,,,,,,,C,
National Advisory Committee on Computing Qualifications,NACCQ,,,"Other Information and Computing Sciences†, , ",Other Information and Computing Sciences†,,,,,,,,,,C,L
National Conference Communications,NCC,,,"Computer Hardware†, , ",Computer Hardware†,,,,,,,,,,C,B
National Conference of The Australian Society for Operations Research,ASOR,,Australasian C,"Artificial intelligence, , ",Artificial intelligence,,,Australasian C,Australasian C,Australasian C,Australasian,Australasian,Australasian,Australasian,,L
National Conference of the American Association for Artificial Intelligence,AAAI,aaai,A*,"Artificial intelligence, Computer vision and multimedia computation, Machine learning",Artificial intelligence,Computer vision and multimedia computation,Machine learning,A*,A*,A*,A*,A*,A*,A*,A,A*
National Conference of the Australian Robot Association,ARA,,,", , ",,,,,,,Australasian,Australasian,Australasian,Australasian,,B
National Conference on Computer and Information Systems,NCCIS,,,"Information Systems†, , ",Information Systems†,,,,,,,,,,C,C
National Database Conference (China),NDB,,,"Data Format†, , ",Data Format†,,,,,,,,,,C,C
National Information Systems Security Conference (was National Computer Security Conference),NISSC,,,"Computer Software†, , ",Computer Software†,,,,,,,,,,C,
National Science Foundation symposium on Next Generation Data Mining and Cyber Enabled Discovery for Innovation (was.NSF workshop on Next Generation Data Mining),NGDM,,,"Data Format†, , ",Data Format†,,,,,,,,,,C,
Natural Language Processing and Knowledge Engineering,IEEE NLP-KE,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,
"Net Object Days (Includings MATES, ENASE etc.)",MATES ENASE,,,", , ",,,,,,,A,A,A,A,,A
Network Storage Symposium,NetStore,,,"Distributed Computing†, , ",Distributed Computing†,,,,,,A,A,A,A,,A
