Title,Acronym,DblpSeries,has CORE2023 Rank,Field,field_of_research_1,field_of_research_2,field_of_research_3
Australasian Information Security Conference,AISC,auisc,Australasian C,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,
Australasian Joint Conference on Artificial Intelligence,AI,ausai,Australasian B,"Artificial intelligence, Machine learning, Computer vision and multimedia computation",Artificial intelligence,Machine learning,Computer vision and multimedia computation
Australasian Language Technology Workshop,ALTA,acl-alta,Australasian C,"Artificial intelligence, , ",Artificial intelligence,,
Australasian Speech Science and Technology,SST,N/A,Australasian C,"Artificial intelligence, , ",Artificial intelligence,,
Australasian Symposium on Parallel and Distributed Computing (was AusGrid),AusPDC,N/A,Australasian C,"Distributed computing and systems software, , ",Distributed computing and systems software,,
Australian Computer Human Interaction Conference,OZCHI,ozchi,Australasian B,"Human-centred computing, , ",Human-centred computing,,
Australian Data Mining Conference,AusDM,ausdm,Australasian C,"Data management and data science, Machine learning, ",Data management and data science,Machine learning,
Australian Institute of Computer Ethics Conference,AICE,N/A,Australasian C,"Human-centred computing, , ",Human-centred computing,,
Automated Software Engineering Conference,ASE,kbse,A*,"Software engineering, , ",Software engineering,,
Automation of Software Test,AST,ast,C,"Software engineering, , ",Software engineering,,
Body Sensor Networks,BSN,bsn,C,"Applied computing, , ",Applied computing,,
British Computer Society Conference on Human-Computer Interaction,HCI,N/A,National,"Human-centred computing, , ",Human-centred computing,,
British Machine Vision Conference,BMVC,bmvc,A,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,
CHI PLAY: The Annual Symposium on Computer-Human Interaction in Play,CHI PLAY,chiplay,Journal Published,"Human-centred computing, Graphics, augmented reality and games, ",Human-centred computing,"Graphics, augmented reality and games",
Cologne-Twente Workshop on Graphs and Combinatorial Optimization,CTW,N/A,C,"Theory of computation, , ",Theory of computation,,
Combinatorial Pattern Matching,CPM,cpm,B,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,
Computability in Europe: Logic and Theory of Algorithms,CiE,cie,C,"Theory of computation, , ",Theory of computation,,
Computational Intelligence in Security for Information Systems,CISIS,cisis-spain,National: Spain,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,
Computer Aided Verification,CAV,cav,A*,"Software engineering, Theory of computation, ",Software engineering,Theory of computation,
Computer Algebra in Scientific Computing,CASC,casc,B,"Theory of computation, , ",Theory of computation,,
"Computer Animation, Information Visualisation, and Digital Effects",CAivDE,N/A,C,"Graphics, augmented reality and games, Computer vision and multimedia computation, ","Graphics, augmented reality and games",Computer vision and multimedia computation,
Computer Graphics International,CGI,cgi,C,"Graphics, augmented reality and games, Computer vision and multimedia computation, ","Graphics, augmented reality and games",Computer vision and multimedia computation,
Computer Sciences and Information Technologies,CSIT,N/A,National,"Artificial intelligence, Software engineering, Data management and data science",Artificial intelligence,Software engineering,Data management and data science
Conference for the International Simulation and Gaming Association,ISAGA,isaga,C,"Graphics, augmented reality and games, Human-centred computing, ","Graphics, augmented reality and games",Human-centred computing,
Conference in Uncertainty in Artificial Intelligence,UAI,uai,A,"Artificial intelligence, , ",Artificial intelligence,,
Conference of the Association for Machine Translation in the Americas,AMTA,amta,National/Regional,"Artificial intelligence, , ",Artificial intelligence,,
Conference of the Association of Asian-Pacific Operational Research Societies,APORS,N/A,C,"Artificial intelligence, , ",Artificial intelligence,,
Conference of the European Association for Machine Translation,EAMT,eamt,C,"Artificial intelligence, , ",Artificial intelligence,,
Conference of the European Society for Fuzzy Logic and Technologies,EUSFLAT,eusflat,C,"Artificial intelligence, Theory of computation, Applied computing",Artificial intelligence,Theory of computation,Applied computing
Conference on Agile Software Development,XP,xpu,B,"Software engineering, , ",Software engineering,,
Conference on Algebra and Coalgebra in Computer Science,CALCO,calco,B,"Theory of computation, , ",Theory of computation,,
Conference on Algorithmic Aspects in Information and Management,AAIM,aaim,C,"Theory of computation, , ",Theory of computation,,
Conference on Combinatorial Optimization and Applications,COCOA,cocoa,C,"Artificial intelligence, , ",Artificial intelligence,,
Conference on Computational Natural Language Learning,CoNLL,conll,B,"Artificial intelligence, Machine learning, ",Artificial intelligence,Machine learning,
CONFERENCE ON COMPUTER SCIENCE AND INTELLIGENCE SYSTEMS,FedCSIS,fedcsis,Multi-conference,"Artificial intelligence, Software engineering, Applied computing",Artificial intelligence,Software engineering,Applied computing
Conference on File and Storage Technologies,FAST,fast,A,"Data management and data science, , ",Data management and data science,,
Conference on Fun with Algorithms,FUN,fun,National: Italy,"Theory of computation, Data management and data science, ",Theory of computation,Data management and data science,
Conference on Games (was Computational Intelligence and Games CIG),COG,cig,C,"Graphics, augmented reality and games, Human-centred computing, ","Graphics, augmented reality and games",Human-centred computing,
Conference on Information Sciences and Systems,CISS,ciss,National: USA,"Distributed computing and systems software, , ",Distributed computing and systems software,,
"Conference on Innovation in Clouds, Internet and Networks",ICIN,icin,National: France,"Distributed computing and systems software, , ",Distributed computing and systems software,,
Conference on Innovative Data Systems Research,CIDR,cidr,A,"Data management and data science, , ",Data management and data science,,
Conference on Integer Programming and Combinatorial Optimization,IPCO,ipco,A,"Theory of computation, , ",Theory of computation,,
Conference on Intelligent Computer Mathematics,CICM,mkm,C,"Theory of computation, Software engineering, Artificial intelligence",Theory of computation,Software engineering,Artificial intelligence
"Conference on Interactive Theorem Proving (previously TPHOLs, changed in 2009)",ITP,itp,A,"Theory of computation, , ",Theory of computation,,
Conference on Learning Theory,COLT,colt,A*,"Machine learning, Artificial intelligence, ",Machine learning,Artificial intelligence,
Conference on Robot Learning,CoRL,corl,Unranked,"Artificial intelligence, Machine learning, Computer vision and multimedia computation",Artificial intelligence,Machine learning,Computer vision and multimedia computation
